DBA,ZIPCODE,Longitude_x,Latitude_x,VIOLATION CODE,Borough
27 SPORTS BAR & CAFE,10452.0,-73.914915336046,40.844397949719,"04J, 15E2, 06D, 10B, 09B, 05D, 10F, 06E",BRONX
270 Market Place,10016.0,-73.980524556812,40.751117331192,"02G, 06F, 06C, 10F, 09E, 08A, 04M, 02B",MANHATTAN
272 UPTOWN PIZZA,10030.0,-73.94597805448,40.816247487236,"04L, 09A, 08C, 08A, 05D, 06C, Missing, 10F",MANHATTAN
275 PARK,11205.0,-73.967561852056,40.696004969166,"02G, 04A, 04N, 08A",BROOKLYN
277 PARK AVENUE CAFE',10172.0,-73.97513791153,40.7555573125,"10F, 10B, 09C",MANHATTAN
"28 SEVENTH AVENUE SOUTH, LLC",10014.0,-74.004629208489,40.730437101332,Missing,MANHATTAN
286 SOUTH RESTAURANT & LOUNGE,10309.0,-74.238707572476,40.521222281469,"02C, 06F, 10G, 10B, 06D",STATEN ISLAND
2A / BERLIN / OLD FLINGS,10009.0,-73.985836157598,40.722901937131,"04H, 06D, 04N, 08A, 08C, 05D",MANHATTAN
2M DELI,10454.0,-73.923901881938,40.811750068722,"02G, 10F, 10E, 04M, 08A, 04A, 03C, 02B, 09A, 10B, 04J, 04H, 06F",BRONX
2ND AVE DELI,10016.0,-73.979548203806,40.745438250059,"08A, 04L, 06D, 10F, 02G, 04M",MANHATTAN
2ND AVENUE DELI,10021.0,-73.954637267305,40.76964811783,"10B, 02B, 04H, 06D, 06A, 04C, 10F",MANHATTAN
3 BROS HALAL PIZZA,11102.0,-73.92494783238,40.768562088487,10B,QUEENS
3 CHICK NYC INC,10036.0,-73.991842090937,40.759523147973,Missing,MANHATTAN
3 COFFEE,11103.0,-73.915687528232,40.763016737139,"06D, 06A, 06C, 02G, 10F, 02B, 10A",QUEENS
3 DESSERT,11354.0,-73.829235428489,40.759777908235,"05D, 10F",QUEENS
3 GREEKS GRILL,11106.0,-73.942003855571,40.762717406098,"10F, 02G, 06E, 08A, 04M, 04L",QUEENS
3 GUYS SUSHI,10310.0,-74.10788578646,40.630278953759,"09B, 09C, 08A, 10F, 04L, 02G, 10D, 02B, 10E",STATEN ISLAND
3 IN 1 KITCHEN,11219.0,-73.99778408659,40.638295102672,"08A, 02B, 09A, 02G, 06F, 04N, 10F, 02I, Missing",BROOKLYN
3 LITTLE PIGS CAFE,11355.0,-73.821731650143,40.756785682665,"04A, 20-04, 04J, 02B, 10G, 10A, 10F, 06D, 08B, 08C, 05H",QUEENS
3 LUIGI'S PIZZA,11238.0,-73.962741121417,40.688123259564,"02G, 02B, 09A, 08C, 10F",BROOKLYN
3 SHEETS SALOON,10012.0,-74.000902033041,40.730796755447,"04H, 06A, 10F, 06C, 10B",MANHATTAN
3 SISTERS' & SHANTA'S RESTAURANT & BAKERY,11417.0,-73.834432836143,40.683340880302,"10F, 02B, 08A, 04N, 04A, 04L, 06C, 08C, 04O",QUEENS
3 STAR JUICE CENTER,11203.0,-73.931480481223,40.661934643418,"04L, 04N, 08C, 10G, 10B, 04K, 08A, 06C",BROOKLYN
3 TIMES,10003.0,-73.991167010894,40.732912632743,"28-05, 02B, 10F, 10B, 08A, 10G, 03A, 06D, 04L, 20-06, 04J, 04K, 02G, 06A, 16-02, 04A, 06E, 04H, 20-04, 02H, 04M, 09B, 04C, 06C, 09C, 04N, 05D, 08C",MANHATTAN
